case_id,occupancy_id,substeps,label,component,maximum_absolute_value,particle_half_bound,overshoot
limit_hopping_zero_chain6,chain6_hole_2,1,static_only,Sx,2.5,2.5,0.0
limit_hopping_zero_chain6,chain6_hole_2,1,static_only,Sy,1.2533377113932431e-16,2.5,0.0
limit_hopping_zero_chain6,chain6_hole_2,1,static_only,Sz,1.1449174941446927e-16,2.5,0.0
limit_hopping_zero_chain6,chain6_hole_2,2,static_only,Sx,2.5,2.5,0.0
limit_hopping_zero_chain6,chain6_hole_2,2,static_only,Sy,1.3964523981613297e-16,2.5,0.0
limit_hopping_zero_chain6,chain6_hole_2,2,static_only,Sz,1.97758476261356e-16,2.5,0.0
limit_hopping_zero_chain6,chain6_hole_2,4,static_only,Sx,2.5,2.5,0.0
limit_hopping_zero_chain6,chain6_hole_2,4,static_only,Sy,1.6783449630075609e-16,2.5,0.0
limit_hopping_zero_chain6,chain6_hole_2,4,static_only,Sz,9.584347204771859e-17,2.5,0.0
limit_hopping_zero_chain6,chain6_hole_2,1,mobile_only,Sx,2.5,2.5,0.0
limit_hopping_zero_chain6,chain6_hole_2,1,mobile_only,Sy,1.2533377113932431e-16,2.5,0.0
limit_hopping_zero_chain6,chain6_hole_2,1,mobile_only,Sz,1.1449174941446927e-16,2.5,0.0
limit_hopping_zero_chain6,chain6_hole_2,2,mobile_only,Sx,2.5,2.5,0.0
limit_hopping_zero_chain6,chain6_hole_2,2,mobile_only,Sy,1.3964523981613297e-16,2.5,0.0
limit_hopping_zero_chain6,chain6_hole_2,2,mobile_only,Sz,1.97758476261356e-16,2.5,0.0
limit_hopping_zero_chain6,chain6_hole_2,4,mobile_only,Sx,2.5,2.5,0.0
limit_hopping_zero_chain6,chain6_hole_2,4,mobile_only,Sy,1.6783449630075609e-16,2.5,0.0
limit_hopping_zero_chain6,chain6_hole_2,4,mobile_only,Sz,9.584347204771859e-17,2.5,0.0
limit_hopping_zero_chain6,chain6_hole_4,1,static_only,Sx,2.5,2.5,0.0
limit_hopping_zero_chain6,chain6_hole_4,1,static_only,Sy,7.28583859910259e-17,2.5,0.0
limit_hopping_zero_chain6,chain6_hole_4,1,static_only,Sz,4.163336342344337e-17,2.5,0.0
limit_hopping_zero_chain6,chain6_hole_4,2,static_only,Sx,2.5,2.5,0.0
