block,sampling,trajectories,family_index,global_false_reject,global_simultaneous_coverage,global_binding_sesoi_detect,global_max_standardized_excess,case_false_reject::limit_hopping_zero_chain6,case_simultaneous_coverage::limit_hopping_zero_chain6,case_binding_sesoi_detect::limit_hopping_zero_chain6,case_false_reject::limit_spin_density_zero_rect2x3,case_simultaneous_coverage::limit_spin_density_zero_rect2x3,case_binding_sesoi_detect::limit_spin_density_zero_rect2x3,unit_binding_sesoi_detect::8d9f57771b025ad2b6da9e578278aa6a,unit_binding_sesoi_detect::db87e6c265d45773bb6297db5af0c11f,unit_binding_sesoi_detect::fb5214d8d1bf5caa839f81a965024f62,unit_binding_sesoi_detect::89bd5e9b58115b60bdad35f43f6437be
DEVELOPMENT,iid,1024,0,False,True,True,0.5123722293778115,False,True,True,False,True,True,True,True,True,True
DEVELOPMENT,iid,1024,1,False,True,True,0.5354923202279281,False,True,True,False,True,True,True,True,True,True
DEVELOPMENT,iid,1024,2,False,True,True,1.4275938419535699,False,True,True,False,True,True,True,True,True,True
DEVELOPMENT,iid,1024,3,False,True,True,0.589720573206793,False,True,True,False,True,True,True,True,True,True
DEVELOPMENT,iid,1024,4,False,True,True,0.35207950560443596,False,True,True,False,True,True,True,True,True,True
DEVELOPMENT,iid,1024,5,False,True,True,0.7997217434644395,False,True,True,False,True,True,True,True,True,True
DEVELOPMENT,iid,1024,6,False,True,True,0.5055234937576603,False,True,True,False,True,True,True,True,True,True
DEVELOPMENT,iid,1024,7,False,True,True,0.8535241664511498,False,True,True,False,True,True,True,True,True,True
DEVELOPMENT,iid,1024,8,False,True,True,1.1419985254049536,False,True,True,False,True,True,True,True,True,True
DEVELOPMENT,iid,1024,9,False,True,True,-0.00829303233061198,False,True,True,False,True,True,True,True,True,True
DEVELOPMENT,iid,1024,10,False,True,True,0.8991332178676037,False,True,True,False,True,True,True,True,True,True
DEVELOPMENT,iid,1024,11,False,True,True,-0.1951621994290177,False,True,True,False,True,True,True,True,True,True
DEVELOPMENT,iid,1024,12,False,True,True,-0.08578502926362144,False,True,True,False,True,True,True,True,True,True
DEVELOPMENT,iid,1024,13,False,True,True,-0.11199093891066625,False,True,True,False,True,True,True,True,True,True
DEVELOPMENT,iid,1024,14,False,True,True,0.9232729479639755,False,True,True,False,True,True,True,True,True,True
DEVELOPMENT,iid,1024,15,False,True,True,3.0119391548004075,False,True,True,False,True,True,True,True,True,True
DEVELOPMENT,iid,1024,16,False,True,True,1.51462142973136,False,True,True,False,True,True,True,True,True,True
DEVELOPMENT,iid,1024,17,False,True,True,0.3486303760013192,False,True,True,False,True,True,True,True,True,True
DEVELOPMENT,iid,1024,18,False,True,True,1.3039973647007532,False,True,True,False,True,True,True,True,True,True
DEVELOPMENT,iid,1024,19,False,True,True,1.0711283591508574,False,True,True,False,True,True,True,True,True,True
DEVELOPMENT,iid,1024,20,False,True,True,0.8884199533913703,False,True,True,False,True,True,True,True,True,True
DEVELOPMENT,iid,1024,21,False,True,True,0.25356335241806544,False,True,True,False,True,True,True,True,True,True
DEVELOPMENT,iid,1024,22,False,True,True,0.5103682846287193,False,True,True,False,True,True,True,True,True,True
DEVELOPMENT,iid,1024,23,False,True,True,1.0630168870818726,False,True,True,False,True,True,True,True,True,True
DEVELOPMENT,iid,1024,24,False,True,True,-0.1489310804458425,False,True,True,False,True,True,True,True,True,True
DEVELOPMENT,iid,1024,25,False,True,True,0.33654166386515394,False,True,True,False,True,True,True,True,True,True
DEVELOPMENT,iid,1024,26,False,True,True,0.37188312143501523,False,True,True,False,True,True,True,True,True,True
DEVELOPMENT,iid,1024,27,False,True,True,0.6715453635876858,False,True,True,False,True,True,True,True,True,True
DEVELOPMENT,iid,1024,28,False,True,True,0.3066441245560324,False,True,True,False,True,True,True,True,True,True
DEVELOPMENT,iid,1024,29,False,True,True,-0.029096724990773,False,True,True,False,True,True,True,True,True,True
DEVELOPMENT,iid,1024,30,False,True,True,0.6421784848888356,False,True,True,False,True,True,True,True,True,True
DEVELOPMENT,iid,1024,31,False,True,True,1.4306354203442817,False,True,True,False,True,True,True,True,True,True
DEVELOPMENT,iid,1024,32,False,True,True,-0.5279333141693366,False,True,True,False,True,True,True,True,True,True
DEVELOPMENT,iid,1024,33,False,True,True,0.7421519158470042,False,True,True,False,True,True,True,True,True,True
DEVELOPMENT,iid,1024,34,False,True,True,0.18931764609031485,False,True,True,False,True,True,True,True,True,True
DEVELOPMENT,iid,1024,35,False,True,True,0.6168799842152611,False,True,True,False,True,True,True,True,True,True
DEVELOPMENT,iid,1024,36,False,True,True,0.7568551411829806,False,True,True,False,True,True,True,True,True,True
DEVELOPMENT,iid,1024,37,False,True,True,0.5536070043645139,False,True,True,False,True,True,True,True,True,True
DEVELOPMENT,iid,1024,38,False,True,True,0.5478407449565451,False,True,True,False,True,True,True,True,True,True
DEVELOPMENT,iid,1024,39,False,True,True,0.5769046449980593,False,True,True,False,True,True,True,True,True,True
DEVELOPMENT,iid,1024,40,False,True,True,1.0597849368719727,False,True,True,False,True,True,True,True,True,True
DEVELOPMENT,iid,1024,41,False,True,True,0.9263793819112436,False,True,True,False,True,True,True,True,True,True
DEVELOPMENT,iid,1024,42,False,True,True,1.89909556234154,False,True,True,False,True,True,True,True,True,True
DEVELOPMENT,iid,1024,43,False,True,True,0.2191054783071068,False,True,True,False,True,True,True,True,True,True
