occupancy_idx,occupancy_realization_id,occupancy_hash,occupancy_mean_effect_db,block
0,39dc9bc6d555b9ca74eadb232d56eb80,9723cf87d7c0979b397fecab0e8496d08406cc701a62298e7a17eaa0abd848b2,-0.5242455623058198,primary
1,71564ba25924b8387f616d3e252b0481,e198707021aa42e272e4fb3b7bc15fa2ccafcbddefa1f8100627463df93bcbb0,-0.26476202908637,primary
2,d49ff979afb20dbef64a134d2357a2de,aa512891f072e66b8cdde6ef29c5412c620a66f009d0415ad039c3edc1e12fdc,-0.606972902948354,primary
3,11408829d96f444949ebf93e65f7c476,72583ce1ecbc7072588a1e369fe7a2608dc4b1d578df7d682a5ac5828949f7f4,-0.5397171203656439,primary
4,de859f6d74cf0747327c90b5167c7834,214c3c211620ddbd77bac3f57923c9117c3c5744351c5e7b315951dd1d4fc754,-0.4497399792420324,primary
5,1e01f132614a9dc96e9707246b3b8487,ad30059a1fc1d898eb04fe7a67fa96036904b92c7b692fda73f25d42ee52bafc,-0.4266613742267993,primary
6,0844154e2a2e894ada986840abc2ba7d,f40f9ca11645c4e47993b88c61dfa921f209227b4a2575b1137a1372c8b66946,-0.7009475193482274,primary
7,b29496af6aa3add0f1b4a38a0ccef8b6,5dc6e16ee0ffbed3eea4d58b7e18f9e913a64ebc8ad82690626c8e7ab8e97deb,-0.3880256498509524,primary
8,484e75efdcde4028f3051820213cb9a6,1405f52caf4a0e8dbd9d938be105c85b19c36cc4a979c2629c658a65ec770692,-0.5537113782156817,primary
9,40e35ab4456b53e57a091222f2b2d446,746e145c2b425e8eb63ed5b8d148d77988c81475311998819b28b294f758760d,-0.4125807420436007,primary
10,a6e8b343e761e37e15914e1a36a40c9a,cb5f86b14f5d51e78643efaad3424101ffb97defcbaeec604a1b5507fdea0c4c,-0.0674880655923,primary
11,103e27b7b03346b7a4f4ba0a2d4cc3d9,f9cac168f4daaef41867793a5fc9334f7884642faa703db679017df999ce8f42,-0.3125350863917581,primary
12,89fb11fe5450c3600cca8274aaee9850,313abf760f408f385dccb3d2e0e0c5e74cb0ba6e98d837612bdd1ed7a5e4135d,-0.676919691232789,primary
13,64a95713771f14296c194d40ef97bc62,3da15e4cff0ab6251dc9fdf13920864b46ac20023bd1b904258d1bbb2e165ac7,-0.2789506625801244,primary
14,9646c97e4f3f2726fd2e42f94087bc0d,ec547cf4f4eed7f0789ad06a07b40ceb3e32c43741fb225a34be3e6b87dede1b,-0.0160808897307615,primary
15,5f518573b38c719d1a2f987f73371c69,5b097343ea5ba07f495458fe1e7a45b397909e17d8168f66d0751efaa505666d,-0.3694134735195927,primary
0,confirmation_occ_fedb8539feb9341c,fedb8539feb9341c,-0.2274832792906509,confirmation
1,confirmation_occ_9ce740c4fccfaf36,9ce740c4fccfaf36,-0.3246057618132778,confirmation
2,confirmation_occ_8c79803ac1513d81,8c79803ac1513d81,-0.4647455435831583,confirmation
3,confirmation_occ_24a8a5d60166062d,24a8a5d60166062d,-0.6439952055071695,confirmation
4,confirmation_occ_a6a7a0a42e618f3a,a6a7a0a42e618f3a,-0.673379238187898,confirmation
5,confirmation_occ_97c0f99961733de4,97c0f99961733de4,-0.526133312695464,confirmation
6,confirmation_occ_b37563fb0612efd5,b37563fb0612efd5,-0.5013536439098165,confirmation
7,confirmation_occ_cd90e896932fe568,cd90e896932fe568,-0.3883550133052659,confirmation
8,confirmation_occ_0a53dffee467c970,0a53dffee467c970,-0.6080897330231442,confirmation
9,confirmation_occ_ad41f598fd366099,ad41f598fd366099,-0.5297130938338612,confirmation
10,confirmation_occ_5f59abb119722b67,5f59abb119722b67,-0.3282309555644435,confirmation
11,confirmation_occ_65d9e4ce438b8f33,65d9e4ce438b8f33,-0.4769976694673802,confirmation
