block,occupancy_idx,path_idx,phase_idx,label,occupancy_seed,hole_path_seed,phase_batch_seed,occupancy_hash,path_hash,run_id,config_hash
confirmation,0,0,0,static_only,221001,0,421001,fedb8539feb9341c,6bd46ec6505eab22,confirmation_occ000_path00_phase00_static_only,90af02170d880284
confirmation,0,0,0,mobile_plus_spin_density,221001,321001,421001,fedb8539feb9341c,ed8e2b3e9247c45f,confirmation_occ000_path00_phase00_mobile_plus_spin_density,90af02170d880284
confirmation,0,0,1,static_only,221001,0,421002,fedb8539feb9341c,6bd46ec6505eab22,confirmation_occ000_path00_phase01_static_only,90af02170d880284
confirmation,0,0,1,mobile_plus_spin_density,221001,321001,421002,fedb8539feb9341c,ed8e2b3e9247c45f,confirmation_occ000_path00_phase01_mobile_plus_spin_density,90af02170d880284
confirmation,0,0,2,static_only,221001,0,421003,fedb8539feb9341c,6bd46ec6505eab22,confirmation_occ000_path00_phase02_static_only,90af02170d880284
confirmation,0,0,2,mobile_plus_spin_density,221001,321001,421003,fedb8539feb9341c,ed8e2b3e9247c45f,confirmation_occ000_path00_phase02_mobile_plus_spin_density,90af02170d880284
confirmation,0,0,3,static_only,221001,0,421004,fedb8539feb9341c,6bd46ec6505eab22,confirmation_occ000_path00_phase03_static_only,90af02170d880284
confirmation,0,0,3,mobile_plus_spin_density,221001,321001,421004,fedb8539feb9341c,ed8e2b3e9247c45f,confirmation_occ000_path00_phase03_mobile_plus_spin_density,90af02170d880284
confirmation,0,1,0,static_only,221001,0,422001,fedb8539feb9341c,6bd46ec6505eab22,confirmation_occ000_path01_phase00_static_only,90af02170d880284
confirmation,0,1,0,mobile_plus_spin_density,221001,321002,422001,fedb8539feb9341c,02b6dc2ffa8cdfc8,confirmation_occ000_path01_phase00_mobile_plus_spin_density,90af02170d880284
confirmation,0,1,1,static_only,221001,0,422002,fedb8539feb9341c,6bd46ec6505eab22,confirmation_occ000_path01_phase01_static_only,90af02170d880284
confirmation,0,1,1,mobile_plus_spin_density,221001,321002,422002,fedb8539feb9341c,02b6dc2ffa8cdfc8,confirmation_occ000_path01_phase01_mobile_plus_spin_density,90af02170d880284
confirmation,0,1,2,static_only,221001,0,422003,fedb8539feb9341c,6bd46ec6505eab22,confirmation_occ000_path01_phase02_static_only,90af02170d880284
confirmation,0,1,2,mobile_plus_spin_density,221001,321002,422003,fedb8539feb9341c,02b6dc2ffa8cdfc8,confirmation_occ000_path01_phase02_mobile_plus_spin_density,90af02170d880284
confirmation,0,1,3,static_only,221001,0,422004,fedb8539feb9341c,6bd46ec6505eab22,confirmation_occ000_path01_phase03_static_only,90af02170d880284
confirmation,0,1,3,mobile_plus_spin_density,221001,321002,422004,fedb8539feb9341c,02b6dc2ffa8cdfc8,confirmation_occ000_path01_phase03_mobile_plus_spin_density,90af02170d880284
confirmation,0,2,0,static_only,221001,0,423001,fedb8539feb9341c,6bd46ec6505eab22,confirmation_occ000_path02_phase00_static_only,90af02170d880284
confirmation,0,2,0,mobile_plus_spin_density,221001,321003,423001,fedb8539feb9341c,97e701713f84d633,confirmation_occ000_path02_phase00_mobile_plus_spin_density,90af02170d880284
confirmation,0,2,1,static_only,221001,0,423002,fedb8539feb9341c,6bd46ec6505eab22,confirmation_occ000_path02_phase01_static_only,90af02170d880284
confirmation,0,2,1,mobile_plus_spin_density,221001,321003,423002,fedb8539feb9341c,97e701713f84d633,confirmation_occ000_path02_phase01_mobile_plus_spin_density,90af02170d880284
confirmation,0,2,2,static_only,221001,0,423003,fedb8539feb9341c,6bd46ec6505eab22,confirmation_occ000_path02_phase02_static_only,90af02170d880284
confirmation,0,2,2,mobile_plus_spin_density,221001,321003,423003,fedb8539feb9341c,97e701713f84d633,confirmation_occ000_path02_phase02_mobile_plus_spin_density,90af02170d880284
confirmation,0,2,3,static_only,221001,0,423004,fedb8539feb9341c,6bd46ec6505eab22,confirmation_occ000_path02_phase03_static_only,90af02170d880284
confirmation,0,2,3,mobile_plus_spin_density,221001,321003,423004,fedb8539feb9341c,97e701713f84d633,confirmation_occ000_path02_phase03_mobile_plus_spin_density,90af02170d880284
confirmation,0,3,0,static_only,221001,0,424001,fedb8539feb9341c,6bd46ec6505eab22,confirmation_occ000_path03_phase00_static_only,90af02170d880284
confirmation,0,3,0,mobile_plus_spin_density,221001,321004,424001,fedb8539feb9341c,73e1a42f0c1dec15,confirmation_occ000_path03_phase00_mobile_plus_spin_density,90af02170d880284
confirmation,0,3,1,static_only,221001,0,424002,fedb8539feb9341c,6bd46ec6505eab22,confirmation_occ000_path03_phase01_static_only,90af02170d880284
confirmation,0,3,1,mobile_plus_spin_density,221001,321004,424002,fedb8539feb9341c,73e1a42f0c1dec15,confirmation_occ000_path03_phase01_mobile_plus_spin_density,90af02170d880284
confirmation,0,3,2,static_only,221001,0,424003,fedb8539feb9341c,6bd46ec6505eab22,confirmation_occ000_path03_phase02_static_only,90af02170d880284
confirmation,0,3,2,mobile_plus_spin_density,221001,321004,424003,fedb8539feb9341c,73e1a42f0c1dec15,confirmation_occ000_path03_phase02_mobile_plus_spin_density,90af02170d880284
confirmation,0,3,3,static_only,221001,0,424004,fedb8539feb9341c,6bd46ec6505eab22,confirmation_occ000_path03_phase03_static_only,90af02170d880284
confirmation,0,3,3,mobile_plus_spin_density,221001,321004,424004,fedb8539feb9341c,73e1a42f0c1dec15,confirmation_occ000_path03_phase03_mobile_plus_spin_density,90af02170d880284
confirmation,1,0,0,static_only,221002,0,521001,9ce740c4fccfaf36,923c09bbeb73acc9,confirmation_occ001_path00_phase00_static_only,90af02170d880284
confirmation,1,0,0,mobile_plus_spin_density,221002,322001,521001,9ce740c4fccfaf36,39161b47f52deceb,confirmation_occ001_path00_phase00_mobile_plus_spin_density,90af02170d880284
confirmation,1,0,1,static_only,221002,0,521002,9ce740c4fccfaf36,923c09bbeb73acc9,confirmation_occ001_path00_phase01_static_only,90af02170d880284
confirmation,1,0,1,mobile_plus_spin_density,221002,322001,521002,9ce740c4fccfaf36,39161b47f52deceb,confirmation_occ001_path00_phase01_mobile_plus_spin_density,90af02170d880284
confirmation,1,0,2,static_only,221002,0,521003,9ce740c4fccfaf36,923c09bbeb73acc9,confirmation_occ001_path00_phase02_static_only,90af02170d880284
confirmation,1,0,2,mobile_plus_spin_density,221002,322001,521003,9ce740c4fccfaf36,39161b47f52deceb,confirmation_occ001_path00_phase02_mobile_plus_spin_density,90af02170d880284
confirmation,1,0,3,static_only,221002,0,521004,9ce740c4fccfaf36,923c09bbeb73acc9,confirmation_occ001_path00_phase03_static_only,90af02170d880284
confirmation,1,0,3,mobile_plus_spin_density,221002,322001,521004,9ce740c4fccfaf36,39161b47f52deceb,confirmation_occ001_path00_phase03_mobile_plus_spin_density,90af02170d880284
confirmation,1,1,0,static_only,221002,0,522001,9ce740c4fccfaf36,923c09bbeb73acc9,confirmation_occ001_path01_phase00_static_only,90af02170d880284
confirmation,1,1,0,mobile_plus_spin_density,221002,322002,522001,9ce740c4fccfaf36,306866f354f1e842,confirmation_occ001_path01_phase00_mobile_plus_spin_density,90af02170d880284
confirmation,1,1,1,static_only,221002,0,522002,9ce740c4fccfaf36,923c09bbeb73acc9,confirmation_occ001_path01_phase01_static_only,90af02170d880284
confirmation,1,1,1,mobile_plus_spin_density,221002,322002,522002,9ce740c4fccfaf36,306866f354f1e842,confirmation_occ001_path01_phase01_mobile_plus_spin_density,90af02170d880284
confirmation,1,1,2,static_only,221002,0,522003,9ce740c4fccfaf36,923c09bbeb73acc9,confirmation_occ001_path01_phase02_static_only,90af02170d880284
confirmation,1,1,2,mobile_plus_spin_density,221002,322002,522003,9ce740c4fccfaf36,306866f354f1e842,confirmation_occ001_path01_phase02_mobile_plus_spin_density,90af02170d880284
confirmation,1,1,3,static_only,221002,0,522004,9ce740c4fccfaf36,923c09bbeb73acc9,confirmation_occ001_path01_phase03_static_only,90af02170d880284
confirmation,1,1,3,mobile_plus_spin_density,221002,322002,522004,9ce740c4fccfaf36,306866f354f1e842,confirmation_occ001_path01_phase03_mobile_plus_spin_density,90af02170d880284
confirmation,1,2,0,static_only,221002,0,523001,9ce740c4fccfaf36,923c09bbeb73acc9,confirmation_occ001_path02_phase00_static_only,90af02170d880284
confirmation,1,2,0,mobile_plus_spin_density,221002,322003,523001,9ce740c4fccfaf36,32d2e41c139621bb,confirmation_occ001_path02_phase00_mobile_plus_spin_density,90af02170d880284
confirmation,1,2,1,static_only,221002,0,523002,9ce740c4fccfaf36,923c09bbeb73acc9,confirmation_occ001_path02_phase01_static_only,90af02170d880284
confirmation,1,2,1,mobile_plus_spin_density,221002,322003,523002,9ce740c4fccfaf36,32d2e41c139621bb,confirmation_occ001_path02_phase01_mobile_plus_spin_density,90af02170d880284
confirmation,1,2,2,static_only,221002,0,523003,9ce740c4fccfaf36,923c09bbeb73acc9,confirmation_occ001_path02_phase02_static_only,90af02170d880284
confirmation,1,2,2,mobile_plus_spin_density,221002,322003,523003,9ce740c4fccfaf36,32d2e41c139621bb,confirmation_occ001_path02_phase02_mobile_plus_spin_density,90af02170d880284
confirmation,1,2,3,static_only,221002,0,523004,9ce740c4fccfaf36,923c09bbeb73acc9,confirmation_occ001_path02_phase03_static_only,90af02170d880284
confirmation,1,2,3,mobile_plus_spin_density,221002,322003,523004,9ce740c4fccfaf36,32d2e41c139621bb,confirmation_occ001_path02_phase03_mobile_plus_spin_density,90af02170d880284
confirmation,1,3,0,static_only,221002,0,524001,9ce740c4fccfaf36,923c09bbeb73acc9,confirmation_occ001_path03_phase00_static_only,90af02170d880284
confirmation,1,3,0,mobile_plus_spin_density,221002,322004,524001,9ce740c4fccfaf36,4f0eca5aa8a068e8,confirmation_occ001_path03_phase00_mobile_plus_spin_density,90af02170d880284
confirmation,1,3,1,static_only,221002,0,524002,9ce740c4fccfaf36,923c09bbeb73acc9,confirmation_occ001_path03_phase01_static_only,90af02170d880284
confirmation,1,3,1,mobile_plus_spin_density,221002,322004,524002,9ce740c4fccfaf36,4f0eca5aa8a068e8,confirmation_occ001_path03_phase01_mobile_plus_spin_density,90af02170d880284
confirmation,1,3,2,static_only,221002,0,524003,9ce740c4fccfaf36,923c09bbeb73acc9,confirmation_occ001_path03_phase02_static_only,90af02170d880284
